nota_corte;codigo_curso;nome_curso;turno;grau;vagas_ocupadas;valor_bruto
491,94;90434;BIOMEDICINA;NOTURNO;Bacharelado;9;88139,64
529,46;1304648;ADMINISTRAÇÃO;NOTURNO;Bacharelado;0;41760
505,96;19848;ADMINISTRAÇÃO;MATUTINO;Bacharelado;0;32907,44
549,28;101747;PEDAGOGIA;NOTURNO;Licenciatura;0;42000
566,22;76047;PROCESSOS GERENCIAIS;NOTURNO;Tecnológico;0;17407,36
457,42;49697;FONOAUDIOLOGIA;MATUTINO;Bacharelado;1;59224,44
607,3;1458137;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;MATUTINO;Bacharelado;0;72000
539,98;1295984;FARMACIA;MATUTINO;Bacharelado;0;59473,5
634,12;48553;ADMINISTRAÇÃO;NOTURNO;Bacharelado;0;70428,78
574,98;111786;EDUCAÇÃO FÍSICA;NOTURNO;Bacharelado;0;38393,12
608,76;1385083;DIREITO;VESPERTINO;Bacharelado;2;102513
612,86;1261240;ENGENHARIA CIVIL;MATUTINO;Bacharelado;0;104490
571,78;9723;ENFERMAGEM;NOTURNO;Bacharelado;1;83020,4
588,18;1304020;FARMÁCIA;NOTURNO;Bacharelado;0;104757
565,36;106024;FARMÁCIA;MATUTINO;Bacharelado;2;65210,94
512,42;1279507;ENGENHARIA MECÂNICA;MATUTINO;Bacharelado;0;68400
553,52;1331184;ADMINISTRAÇÃO;MATUTINO;Bacharelado;0;49719,76
453,94;110444;GESTÃO FINANCEIRA;NOTURNO;Tecnológico;0;17363,28
504,08;116218;MÚSICA;NOTURNO;Licenciatura;1;36384
627,46;87550;CIÊNCIAS CONTÁBEIS;NOTURNO;Bacharelado;0;91113,44
574,4;366629;EDUCAÇÃO FÍSICA;MATUTINO;Bacharelado;1;59650,32
522,28;1486701;AUTOMAÇÃO INDUSTRIAL;MATUTINO;Tecnológico;0;27766,26
582,06;120127;PEDAGOGIA;NOTURNO;Licenciatura;0;52082,64
573,18;112532;MEDICINA VETERINÁRIA;MATUTINO;Bacharelado;6;139444,2
529,6;1474136;ENGENHARIA DE COMPUTAÇÃO;NOTURNO;Bacharelado;0;136620
568,62;123363;PSICOLOGIA;MATUTINO;Bacharelado;1;113094,12
542,02;1086150;FARMÁCIA;MATUTINO;Bacharelado;3;75480
