codigo_mec_mantenedora;codigo_mec_ies;codigo_local_oferta;codigo_microregiao;codigo_grupo_pref;codigo_curso
1149;1735;4201;23032;118659;90434
16313;19674;1070116;26005;118899;1304648
545;1298;1006627;27011;119104;19848
1247;1898;658856;35063;120964;101747
844;5403;1926;41037;121354;76047
262;374;706435;35061;120924;49697
1416;2147;659007;13007;117966;1458137
16452;242;657799;35061;120919;1295984
16452;5668;660101;42008;121441;48553
545;793;25759;35061;120958;111786
2405;1422;1081198;13007;117997;1385083
1526;2336;659096;52009;122072;1261240
326;472;657921;33018;120240;9723
1509;4068;1060898;53001;122194;1304020
2291;3615;1082268;26017;118975;106024
1667;2560;1058601;29012;119258;1279507
16410;20586;1112308;35061;120998;1331184
16298;481;103202;35059;120999;110444
316;456;657908;35061;120978;116218
943;1427;136755;43016;121645;87550
119;1509;2905;31030;119722;366629
119;163;2744;33018;120250;1486701
3266;5105;660018;33018;120280;120127
1564;1053;658223;29012;119291;112532
143;203;1095581;35061;120938;1474136
1204;4865;1056034;21002;118298;123363
1329;2023;1065295;29026;119443;1086150
245;352;657848;25022;118818;1457853
16452;926;30981;50004;121833;1404664
16452;1345;1060971;35057;120936;1205567
545;2036;658950;15007;118108;80834
545;2122;100687;28011;119142;107658
2477;3921;659664;29001;119212;91093
2519;3998;1039739;33018;120298;1104005
1477;2270;659064;31052;119899;91913
2523;4007;702273;35029;120628;105992
757;1087;658249;11001;117886;94221
3169;4964;105246;21017;118381;1456864
199;277;1043605;33018;120260;1178674
159;221;1085415;35061;120945;1427560
84;4962;659976;31027;119756;1267045
16134;3456;705589;35032;120641;80152
16437;20532;1072424;23017;118565;1441605
1240;1885;658845;21002;118299;58700
441;669;658021;13007;117962;108224
1847;2835;659319;26017;119016;63510
781;1131;1076070;22003;118443;105972
902;14028;1044032;31030;119713;1146578
222;316;1063075;35061;120992;5001268
2141;3388;659473;23032;118653;89822
1965;3034;1101320;29021;119377;1259245
15951;18114;1108951;51017;121995;1207554
2559;823;1058879;21009;118317;1279431
1569;2410;659133;23016;118536;1300474
314;449;657901;43026;121730;66506
970;1468;658510;31018;119642;31003
737;1055;1056543;29021;119408;1300301
2405;1422;1041219;13007;117979;1364159
2148;3396;659478;53001;122198;105514
1303;1988;658924;42013;121491;98571
78;1575;658592;31023;119641;108658
222;316;706703;35061;120940;117066
14514;2037;658951;29021;119364;1178531
2415;322;377;13007;118009;99120
1122;1702;1039741;14001;118024;1361383
2415;3786;1073426;31030;119687;1069954
321;466;1055963;35061;120966;1266443
321;466;707833;35061;120986;25237
1077;1640;658644;29015;119330;89794
545;1077;658241;26017;118974;18785
274;398;657873;28011;119146;1420448
1174;1734;658725;22003;118444;1260316
194;271;2522;35036;120687;6488
194;271;657815;35036;120713;1160204
268;385;6801;29012;119261;1059289
1116;1694;658691;42019;121562;123149
85;1418;658465;35017;120441;1258748
13;13;585;43016;121619;1404869
732;1049;658220;13007;117968;110564
307;440;657896;35046;120826;1261183
17161;2443;1072257;31004;119548;100569
2067;3268;1050955;29031;119491;1330714
88;124;1037197;35024;120545;105434
770;4450;1041237;15007;118073;1174855
222;1624;658632;35023;120489;1258274
412;1327;658406;43026;121748;32115
1567;2408;105564;35063;120997;61656
740;1060;1791;53001;122200;1438794
210;295;1002398;43020;121676;19003
199;277;657818;33018;120252;96304
1765;5387;1069717;35061;120927;1455062
2861;4566;705036;24018;118700;106826
16452;457;1002303;35061;120939;106554
1176;3149;659386;31043;119847;46040
145;206;1043954;35061;121000;1483501
119;862;1081990;50004;121820;1405054
119;163;1054146;33013;120199;1466492
119;163;1486;33018;120320;70276
340;494;344;42016;121525;120611
16931;17662;1076831;35023;120498;1364732
119;163;7672;33018;120264;102406
119;1986;101198;31065;119991;52021
481;718;1067760;24018;118734;1321625
938;1414;658461;11001;117881;1204819
118;162;657757;35061;120987;75568
878;1317;1051806;35042;120770;1146518
1891;2915;1072697;31020;119618;1383358
3082;5669;1054144;35050;120888;111652
346;502;657938;35063;120929;97739
17861;23096;1090732;35050;120885;1430451
15728;17499;1058303;23023;118618;1453833
