ies;codigo_mec_ies;organizacao_academica;uf_ies;municipio_ies;vagas_autorizadas;vagas_ocupadas
CENTRO UNIVERSITARIO DOUTOR LEAO SAMPAIO;1735;Centro Universitário;CE;Juazeiro do Norte;50;9
Faculdade do Vale do São Francisco;19674;Faculdade ;PE;Petrolina;100;0
Faculdade Estácio de Alagoas - Estácio FAL;1298;Faculdade ;AL;Maceió;50;0
FACULDADE DO LITORAL SUL PAULISTA;1898;Faculdade ;SP;Praia Grande;150;0
CENTRO UNIVERSITARIO OPET;5403;Centro Universitário;PR;Curitiba;180;0
CENTRO UNIVERSITARIO DAS FACULDADES METROPOLITANAS UNIDAS;374;Centro Universitário;SP;São Paulo;60;1
Centro Universitário CEUNI - FAMETRO;2147;Centro Universitário;AM;Manaus;100;0
CENTRO UNIVERSITARIO ANHANGUERA PITAGORAS AMPLI;242;Centro Universitário;SP;Santo André;75;0
FACULDADE ANHANGUERA DE JOINVILLE;5668;Faculdade ;SC;Joinville;315;0
CENTRO UNIVERSITARIO BRASÍLIA DO ESTADO DE GOIAS ;2336;Centro Universitário;GO;São Luís de Montes Belos;50;0
UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY;472;Universidade;RJ;Duque de Caxias;240;1
FACULDADE ICESP;4068;Faculdade ;DF;Brasília;100;0
FACULDADE PERNAMBUCANA DE SAÚDE ;3615;Faculdade ;PE;Recife;60;2
FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA;2560;Faculdade ;BA;Feira de Santana;50;0
Universidade Universus Veritas Guarulhos;481;Universidade;SP;Guarulhos;120;0
CENTRO UNIVERSITARIO DA SERRA GAÚCHA;1427;Centro Universitário;RS;Caxias do Sul;120;0
Centro Universitário Estácio de Belo Horizonte - Estácio BH;1509;Centro Universitário;MG;Belo Horizonte;100;1
UNIVERSIDADE ESTACIO DE SA;163;Universidade;RJ;Rio de Janeiro;50;0
FACULDADE PITAGORAS DE SAO LUIZ;4865;Faculdade ;MA;São Luís;109;1
Centro Universitário FG;2023;Centro Universitário;BA;Guanambi;50;3
CENTRO UNIVERSITARIO DE JOAO PESSOA;352;Centro Universitário;PB;João Pessoa;100;0
CENTRO UNIVERSITARIO ANHANGUERA DE CAMPO GRANDE;926;Centro Universitário;MS;Campo Grande;100;0
FACULDADE ANHANGUERA DE OSASCO;1345;Faculdade ;SP;Osasco;50;0
Faculdade Estácio do Para- Estácio FAP;2036;Faculdade ;PA;Belém;100;2
CENTRO UNIVERSITARIO ESTACIO DE SERGIPE;2122;Centro Universitário;SE;Aracaju;125;3
CENTRO UNIVERSITARIO ARNALDO HORACIO FERREIRA;3921;Centro Universitário;BA;Luís Eduardo Magalhães;100;0
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE EXTREMA;2270;Faculdade ;MG;Extrema;100;0
FATECE - FACULDADE DE TECNOLOGIA, CIÊNCIAS E EDUCAÇAO;4007;Faculdade ;SP;Pirassununga;100;0
CENTRO UNIVERSITARIO APARÍCIO CARVALHO;1087;Centro Universitário;RO;Porto Velho;100;1
Centro Universitário de Ciências e Tecnologia do Maranhão;4964;Centro Universitário;MA;Caxias;100;2
CENTRO UNIVERSITARIO DE SETE LAGOAS;4962;Centro Universitário;MG;Sete Lagoas;50;0
FACULDADE POLITÉCNICA DE CAMPINAS;3456;Faculdade ;SP;Campinas;50;0
Faculdade Metropolitana de Horizonte;20532;Faculdade ;CE;Horizonte;100;0
CENTRO UNIVERSITARIO SANTO AGOSTINHO;1131;Centro Universitário;PI;Teresina;50;0
Centro Universitário UNA de Betim;14028;Centro Universitário;MG;Betim;120;1
FACULDADE DELTA;3034;Faculdade ;BA;Salvador;120;1
Faculdade Fasipe Mato Grosso;18114;Faculdade ;MT;Cuiabá;50;0
FACULDADE CEARENSE;2410;Faculdade ;CE;Fortaleza;120;0
UNIVERSIDADE LUTERANA DO BRASIL;449;Universidade;RS;Canoas;100;2
FACULDADE ESAMC UBERLÂNDIA;1468;Faculdade ;MG;Uberlândia;240;0
CENTRO UNIVERSITARIO AVANTIS;1988;Centro Universitário;SC;Balneário Camboriú;100;0
CENTRO UNIVERSITARIO DO PLANALTO DE ARAXA;1575;Centro Universitário;MG;Araxá;60;0
FACULDADE UNIME DE CIÊNCIAS EXATAS E TECNOLÓGICAS;2037;Faculdade ;BA;Lauro de Freitas;100;0
CENTRO UNIVERSITARIO ESTACIO DA AMAZÔNIA;1702;Centro Universitário;RR;Boa Vista;100;0
CENTRO UNIVERSITARIO AGES;1640;Centro Universitário;BA;Paripiranga;50;0
UNIVERSIDADE DO OESTE PAULISTA;271;Universidade;SP;Presidente Prudente;150;0
ESCOLA SUPERIOR DE CRICIÚMA - ESUCRI;1694;Faculdade ;SC;Criciúma;100;3
CENTRO UNIVERSITARIO TOLEDO;1418;Centro Universitário;SP;Araçatuba;60;0
FACULDADE DE DIREITO DE ITÚ;440;Faculdade ;SP;Itu;40;0
FACULDADE FUNORTE DE JANAÚBA;2443;Faculdade ;MG;Janaúba;200;0
FACULDADE MADRE THAIS;3268;Faculdade ;BA;Ilhéus;30;0
UNIVERSIDADE DE ARARAQUARA;124;Universidade;SP;Araraquara;100;0
FACULDADE MARECHAL RONDON;1624;Faculdade ;SP;São Manuel;150;0
ESCOLA SUPERIOR DE PROPAGANDA E MARKETING DE PORTO ALEGRE;1327;Faculdade ;RS;Porto Alegre;160;0
FACULDADE ESAMC SANTOS;2408;Faculdade ;SP;Santos;120;1
UNIVERSIDADE DE SANTA CRUZ DO SUL;295;Universidade;RS;Santa Cruz do Sul;110;2
ESTACIO FATERN - FACULDADE ESTACIO DO RIO GRANDE DO NORTE;4566;Faculdade ;RN;Natal;125;0
