nome_local_oferta;codigo_local_oferta;municipio_local_oferta;uf_local;vagas_ofertadas_fies;vagas_alem_oferta
UNIDADE SEDE;4201;Juazeiro do Norte;CE;20;20
CAMPUS PRINCIPAL;1070116;Petrolina;PE;40;22
UNIDADE JATIÚCA;1006627;Maceió;AL;15;35
CANTO DO FORTE;658856;Praia Grande;SP;10;0
NOVA SEDE: REBOUÇAS;1926;Curitiba;PR;13;0
FMU - SANTO AMARO;706435;São Paulo;SP;13;13
UNIDADES 1/2;659007;Manaus;AM;25;0
CAMPUS  - SANTO ANDRÉ - CENTRO;657799;Santo André;SP;18;57
CAMPUS  - JOINVILLE - GLÓRIA;660101;Joinville;SC;94;221
INTERLAGOS;25759;São Paulo;SP;32;48
UNIDADE CIDADE NOVA;1081198;Manaus;AM;20;0
CAMPUS  - SO LUÍS DE MONTES BELOS - SETOR UNIVERSITÁRIO;659096;São Luís de Montes Belos;GO;15;35
POLO NA SEDE;657921;Duque de Caxias;RJ;10;0
UNIDADE ÁGUAS CLARAS;1060898;Brasília;DF;40;60
FACULDADE PERNAMBUCANA DE SAÚDE;1082268;Recife;PE;15;0
UNIDADE UNEF - LUIS EDUARDO MAGALHES;1058601;Feira de Santana;BA;15;35
FVG;1112308;São Paulo;SP;16;0
GUARULHOS CENTRO;103202;Guarulhos;SP;60;0
CAMPUS  - SO PAULO - SANTANA;657908;São Paulo;SP;56;84
CENTRO UNIVERSITÁRIO DA SERRA GAÚCHA (FSG);136755;Caxias do Sul;RS;48;0
PRADO;2905;Belo Horizonte;MG;30;70
NOVA IGUAÇU;2744;Nova Iguaçu;RJ;12;38
CAMPUS  - RIO DE JANEIRO - FREGUESIA DE JACAREPAGUÁ;660018;Rio de Janeiro;RJ;10;0
CAMPUS  - FEIRA DE SANTANA - SIM;658223;Feira de Santana;BA;30;0
UNIDADE VILA LEOPOLDINA;1095581;São Paulo;SP;10;0
UNIDADE ACADÊMICA;1056034;São Luís;MA;43;66
Campus FG;1065295;Guanambi;BA;20;0
CAMPUS UNIPÊ;657848;João Pessoa;PB;25;0
CHCARA DAS MANS¿ES (SEDE);30981;Campo Grande;MS;40;60
OSASCO;1060971;Osasco;SP;15;35
PARÁ;658950;Belém;PA;40;60
ARACAJU;100687;Aracaju;SE;37;88
CAMPUS  - LUÍS EDUARDO MAGALHES - MIMOSO DO OESTE;659664;Luís Eduardo Magalhães;BA;40;0
UNIDADE SEDE - CENTRO;1039739;Rio de Janeiro;RJ;25;24
CAMPUS  - EXTREMA - VILA RICA;659064;Extrema;MG;26;0
UNIDADE  - PIRASSUNUNGA - JARDIM URUPÊS;702273;Pirassununga;SP;3;3
UNIDADE  - PORTO VELHO - JARDIM ELDORADO;658249;Porto Velho;RO;40;0
CAXIAS-CENTRO;105246;Caxias;MA;25;25
UNIDADE BANGU;1043605;Rio de Janeiro;RJ;10;10
POLO SP_PAULISTA;1085415;São Paulo;SP;50;0
CENTRO UNIVERSITÁRIO DE SETE LAGOAS;659976;Sete Lagoas;MG;20;30
CAMPUS  - CAMPINAS - FAZENDA SANTA CÂNDIDA;705589;Campinas;SP;18;1
SEDE;1072424;Horizonte;CE;20;80
CAMPUS  - SO LUÍS - RENASCENÇA;658845;São Luís;MA;20;10
Uninilton Lins;658021;Manaus;AM;120;0
UNINASSAU - Sede;659319;Recife;PE;92;0
ANEXO I;1076070;Teresina;PI;20;20
Campus Sede;1044032;Betim;MG;36;0
VILA PRUDENTE;1063075;São Paulo;SP;130;130
