nome_mantenedora;codigo_mantenedora;cnpj 
INSTITUTO LEAO SAMPAIO DE ENSINO UNIVERSITARIO LTDA;1149;2390000000000
SOCIEDADE EDUCACIONAL CESAR VIEIRA DINIZ - PETROLINA LTDA;16313;20900000000000
IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.;545;2610000000000
SERVICOS EDUCACIONAIS DO LITORAL PAULISTA LTDA.;1247;3930000000000
OPET ORGANIZACAO PARANAENSE DE ENSINO TECNICO LTDA;844;75100000000000
FACULDADES METROPOLITANAS UNIDAS EDUCACIONAIS LTDA.;262;63100000000000
IME INSTITUTO METROPOLITANO DE ENSINO LTDA;1416;3820000000000
ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;16452;4310000000000
CENESUP - CENTRO NACIONAL DE ENSINO SUPERIOR LTDA;2405;5470000000000
CENTRO EDUCACIONAL MONTES BELOS LTDA;1526;4910000000000
COMPANHIA NILZA CORDEIRO HERDY DE EDUCACAO E CULTURA;326;29400000000000
SOEBRAS - SOCIEDADE EDUCATIVA DO BRASIL LTDA;1509;22700000000000
ASSOCIACAO EDUCACIONAL DE CIENCIAS DA SAUDE - AECISA;2291;5830000000000
UNEF UNIDADE DE ENSINO SUPERIOR DE FEIRA DE SANTANA LTDA;1667;3400000000000
INSTITUICAO DE ENSINO RIZZO, ALVES DA SILVA & PERES IGNACIO LTDA;16410;12900000000000
SOCIEDADE PAULISTA DE ENSINO E PESQUISA S/S LTDA;16298;4300000000000
INSTITUTO SANTANENSE DE ENSINO SUPERIOR;316;62900000000000
SOCIEDADE EDUCACIONAL SANTA RITA S.A.;943;91100000000000
SOCIEDADE DE ENSINO SUPERIOR ESTACIO DE SA LTDA;119;34100000000000
INSTITUTO DE GESTAO EDUCACIONAL SIGNORELLI LTDA.;3266;7440000000000
INSTITUTO MANTENEDOR DE ENSINO SUPERIOR DA BAHIA LTDA - ME;1564;4670000000000
AMC - SERVICOS EDUCACIONAIS LTDA;143;43000000000000
PITAGORAS - SISTEMA DE EDUCACAO SUPERIOR SOCIEDADE LTDA;1204;3240000000000
CESG - CENTRO DE EDUCACAO SUPERIOR DE GUANAMBI LTDA;1329;4100000000000
IPE EDUCACIONAL LTDA;245;8680000000000
SOCIEDADE EDUCACIONAL ARNALDO HORACIO FERREIRA S/C LTDA;2477;6160000000000
INFNET EDUCACAO LTDA.;2519;674000000000
SOCIEDADE UNIFICADA DE EDUCACAO DE EXTREMA;1477;3770000000000
DIDACIEBE CENTRO INTEGRADO DE EDUCACAO BRASIL - EUROPA LTDA;2523;6260000000000
SOCIEDADE DE PESQUISA EDUCACAO E CULTURA, DR. APARICIO CARVALHO DE MORAES LTDA;757;1130000000000
FACULDADE DE CIENCIAS E TECNOLOGIA DO MARANHAO LTDA;3169;8070000000000
SOCIEDADE UNIFICADA DE ENSINO AUGUSTO MOTTA;199;34000000000000
CRUZEIRO DO SUL EDUCACIONAL S.A.;159;63000000000000
FUNDACAO EDUCACIONAL MONSENHOR MESSIAS;84;25000000000000
UNIESP S.A;16134;19300000000000
CEN - CENTRO DE ENSINO SUPERIOR E CAPACITACAO LTDA - EPP;16437;4900000000000
GRUPO DOM BOSCO LTDA;1240;41500000000000
CENTRO DE ENSINO SUPERIOR NILTON LINS;441;4800000000000
SER EDUCACIONAL S.A.;1847;4990000000000
ASSOCIACAO TERESINENSE DE ENSINO S/C LTDA;781;35000000000000
SOCIEDADE DE EDUCACAO SUPERIOR E CULTURA BRASIL S.A.;902;84700000000000
ASSOCIACAO EDUCACIONAL NOVE DE JULHO;222;43400000000000
FIUSA EDUCACIONAL S/SIMPLES LTDA - EPP;2141;4240000000000
IUNI EDUCACIONAL - UNIME SALVADOR LTDA;1965;3400000000000
UNIAO DAS FACULDADES FASIPE LTDA;15951;17500000000000
CEUMA-ASSOCIACAO DE ENSINO SUPERIOR;2559;23700000000000
CENTRO DE ENSINO SUPERIOR DO CEARA;1569;4920000000000
AELBRA EDUCACAO SUPERIOR - GRADUACAO E POS-GRADUACAO S.A.;314;88300000000000
IDEA - INSTITUTO DE DESENVOLVIMENTO EDUCACIONAL AVANCADO LTDA;970;3160000000000
ABES - SOCIEDADE BAIANA DE ENSINO SUPERIOR LTDA;737;32700000000000
SANTANA INSTITUTO DE EDUCACAO SUPERIOR EIRELI;2148;2850000000000
SOCIEDADE AVANTIS DE ENSINO E ESCOLA DE AVIACAO CIVIL S.A.;1303;4200000000000
FUNDACAO CULTURAL DE ARAXA;78;17800000000000
EDITORA E DISTRIBUIDORA EDUCACIONAL S/A;14514;38700000000000
ASSUPERO ENSINO SUPERIOR LTDA.;2415;6100000000000
SOCIEDADE EDUCACIONAL ATUAL DA AMAZONIA LTDA;1122;3540000000000
ISCP - SOCIEDADE EDUCACIONAL LTDA.;321;62600000000000
AGES EMPREENDIMENTOS EDUCACIONAIS LTDA;1077;3730000000000
SOCIEDADE DE EDUCACAO TIRADENTES S.A;274;13000000000000
YDUQS EDUCACIONAL LTDA.;1174;3680000000000
ASSOCIACAO PRUDENTINA DE EDUCACAO E CULTURA APEC;194;44900000000000
FACS SERVICOS EDUCACIONAIS LTDA;268;13500000000000
ESUCRI - ESCOLA SUPERIOR DE CRICIUMA LTDA;1116;73500000000000
SOCIEDADE DE ENSINO SUPERIOR TOLEDO LTDA.;85;43800000000000
FUNDACAO UNIVERSIDADE DE CAXIAS DO SUL;13;88600000000000
FUCAPI FUND CENTRO DE ANALISE PESQ E INOV TECNOLOGICA;732;4150000000000
OSAC - ORGANIZACAO SOROCABANA DE ASSISTENCIA E CULTURA LTDA.;307;71900000000000
SOCIEDADE NORTE MINEIRA DE ENSINO E COMUNICACAO LTDA;17161;2600000000000
SOCIEDADE EDUCACIONAL SUL BAHIANA LTDA - EPP;2067;5400000000000
ASSOCIACAO SAO BENTO DE ENSINO;88;44000000000000
INSTITUTO EURO AMERICANO DE EDUCACAO CIENCIA TECNOLOGIA;770;37200000000000
ASSOCIACAO ESCOLA SUPERIOR DE PROPAGANDA E MARKETING;412;61800000000000
ESACOM - ESCOLA SUPERIOR DE ADMINISTRACAO, COMUNICACAO E MARKETING S/C LTDA;1567;4900000000000
CESB - CENTRO DE EDUCACAO SUPERIOR DE BRASILIA LTDA;740;422000000000
ASSOCIACAO PRO ENSINO EM SANTA CRUZ DO SUL;210;95400000000000
UNIAO EDUCACIONAL, CULTURAL E TECNOLOGICA IMPACTA - UNI.IMPACTA;1765;59100000000000
SOCIEDADE UNIVERSITARIA DE EXCELENCIA EDUCACIONAL DO RIO GRANDE DO NORTE LTDA;2861;7490000000000
UNIAO DE ENSINO UNOPAR LTDA;1176;3570000000000
INSTITUICAO EDUCACIONAL PROFESSOR PASQUALE CASCINO;145;43400000000000
FUNDACAO UNIVERSIDADE DO SUL DE SANTA CATARINA-UNISUL;340;86400000000000
FRB- FACULDADES REUNIDAS DE BOTUCATU LTDA;16931;18800000000000
APEC - SOCIEDADE POTIGUAR DE EDUCACAO E CULTURA LTDA;481;8480000000000
CENTRO DE ENSINO SAO LUCAS LTDA;938;84600000000000
FEBASP ASSOCIACAO CIVIL;118;62300000000000
INSTITUICAO CHADDAD DE ENSINO LTDA;878;2640000000000
ASSOCIACAO EDUCACIONAL DE PATOS DE MINAS - AEPM;1891;3240000000000
CETEC EDUCACIONAL S.A.;3082;7760000000000
INSTITUTO DE EDUCACAO E CULTURA UNIMONTE S/A;346;45000000000000
OLHAR EDUCACIONAL LTDA;17861;29200000000000
INSTITUTO JAGUARIBANO DE ENSINO LTDA. - ME;15728;10500000000000
DINAMICA E ASSESSORIA E CONSULTORIA EMPRESARIAL EIRELI;17855;36300000000000
FUNDACAO MUNICIPAL DE ENSINO SUPERIOR DE CONS LAFAIETE;77;19700000000000
ASBEC - SOCIEDADE BAIANA DE EDUCACAO E CULTURA S/A;805;1120000000000
UNIDADE REGIONAL BAIANA DE EDUCACAO LTDA;17571;14900000000000
ENTIDADE MANTENEDORA DE ENSINO SANTA RITA LTDA;813;2050000000000
UNIRB - UNIVERSIDADE REGIONAL BRASILEIRA S.A.;17024;28800000000000
IESST - INSTITUTO DE ENSINO SUPERIOR SOCIAL E TECNOLOGICO;1086;3320000000000
CETTAA EDUCACIONAL LTDA;2744;6120000000000
CENTRO EDUCACIONAL DE REALENGO;129;42300000000000
UNIDESC LTDA;17143;30100000000000
ASSOCIACAO IGREJA ADVENTISTA MISSIONARIA - AIAMIS;1390;3370000000000
CENTRO EDUCACIONAL NOSSA CIDADE LTDA.;2617;7230000000000
ASSOCIACAO ESCOLA DE AGRIMENSURA DE ARARAQUARA;87;44000000000000
ASSOCIACAO DE ESCOLAS REUNIDAS LTDA.;471;51800000000000
SOCIEDADE EDUCACIONAL DE RONDONIA S/S LTDA;525;5710000000000
FUNDACAO MUNICIPAL DE ENSINO SUPERIOR BRAGANCA PAULISTA;341;45600000000000
FACULDADE DE TECNOLOGIA E CIENCIAS DO NORTE DO PARANA LTDA - ME;3040;7720000000000
UNIAO DE EDUCACAO E CULTURA VALE DO JAGUARIBE LTDA;901;139000000000
FUNDACAO DOM AGUIRRE;109;71500000000000
INSTITUICAO EDUCACIONAL MATOGROSSENSE-IEMAT;546;2490000000000
