ano;semestre;cod_grupo_preferencia;1_semestre_bruto;2_semestre_bruto;3_semestre_bruto;5_semestre_bruto;6_semestre_bruto;7_semestre_bruto;8_semestre_bruto;9_semestre_bruto;10_semestre_bruto;11_semestre_bruto;12_semestre_bruto
2021;1;118659;9499,38;10863,3;10863,24;10863,18;10863,12;12091,26;12232,92;0;0;0;0
2021;1;118899;5220;5220;5220;5220;5220;5220;5220;0;0;0;0
2021;1;119104;4113,43;4113,43;4113,43;4113,43;4113,43;4113,43;4113,43;0;0;0;0
2021;1;120964;6000;6000;6000;6000;6000;6000;0;0;0;0;0
2021;1;121354;4194;4194;4509,68;0;0;0;0;0;0;0;0
2021;1;120924;7620;6728,88;6303,12;7471,68;7294,56;8489,04;8892,78;0;0;0;0
2021;1;117966;7200;7200;7200;7200;7200;7200;7200;7200;7200;0;0
2021;1;120919;7541,76;6792,84;7058,34;8018,16;5801,4;6553,2;4151,4;4151,4;4151,4;0;0
2021;1;121441;7584,36;7490,64;9063,06;9542,76;9174;10251,12;8883,6;0;0;0;0
2021;1;120958;4799,14;4799,14;4799,14;4799,14;4799,14;4799,14;4799,14;0;0;0;0
2021;1;117997;10251,3;10251,3;10251,3;10251,3;10251,3;10251,3;10251,3;10251,3;10251,3;0;0
2021;1;122072;10449;10449;10449;10449;10449;10449;10449;10449;10449;0;0
2021;1;120240;8302,04;8302,04;8302,04;8302,04;8302,04;8302,04;8302,04;8302,04;8302,04;0;0
2021;1;122194;10475,7;10475,7;10475,7;10475,7;10475,7;10475,7;10475,7;10475,7;10475,7;0;0
2021;1;118975;7245,66;7245,66;7245,66;7245,66;7245,66;7245,66;7245,66;7245,66;0;0;0
2021;1;119258;6840;6840;6840;6840;6840;6840;6840;6840;6840;0;0
2021;1;120998;5370;5370;5897,87;6477,63;6477,63;7114,38;7114,38;0;0;0;0
2021;1;120999;4340,82;4340,82;4340,82;0;0;0;0;0;0;0;0
2021;1;120978;4548;4548;4548;4548;4548;4548;4548;0;0;0;0
2021;1;121645;11389,18;11389,18;11389,18;11389,18;11389,18;11389,18;11389,18;0;0;0;0
2021;1;119722;7456,29;7456,29;7456,29;7456,29;7456,29;7456,29;7456,29;0;0;0;0
2021;1;120250;4627,71;4627,71;4627,71;4627,71;4627,71;0;0;0;0;0;0
2021;1;120280;5760;6778,92;6778,92;6778,92;6778,92;6778,92;6778,92;0;0;0;0
2021;1;119291;13944,42;13944,42;13944,42;13944,42;13944,42;13944,42;13944,42;13944,42;13944,42;0;0
2021;1;120938;13662;13662;13662;13662;13662;13662;13662;13662;13662;0;0
2021;1;118298;8521,86;7865,64;8712,48;9324,18;11820,6;15328,14;14348,4;15469,86;12559,8;0;0
2021;1;119443;7548;7548;7548;7548;7548;7548;7548;7548;7548;0;0
2021;1;118818;8412,84;8412,84;8412,84;8412,84;8412,84;8412,84;8412,84;8412,84;8412,84;0;0
2021;1;121833;9203,58;8560,74;10711,26;8250;8250;8250;8250;8250;8250;0;0
2021;1;120936;7757,16;7328,58;9415,08;7157,1;7068,6;8640,72;9952,8;10758;9484,2;0;0
2021;1;118108;7970,57;7970,57;7970,57;7970,57;7970,57;7970,57;7970,57;0;0;0;0
2021;1;119142;7542;7542;7542;7542;7542;7542;7542;7542;7542;0;0
2021;1;119212;4476;4476;4476;4476;4476;4476;4476;0;0;0;0
2021;1;120298;9868,38;9868,38;9868,38;9868,38;9868,38;9868,38;9868,38;0;0;0;0
2021;1;119899;5922,47;5922,47;5922,47;5922,47;5922,47;5922,47;5922,47;5922,47;5922,47;0;0
2021;1;120628;5558,88;5558,88;5558,88;5558,88;5558,88;5558,88;0;0;0;0;0
2021;1;117886;10158;10158;10158;10158;10158;10158;10158;0;0;0;0
2021;1;118381;7590,03;7590,03;7590,03;7590,03;7590,03;7590,03;7590,03;7590,03;7590,03;0;0
2021;1;120260;4080;4080;4080;4080;4080;4080;4080;4080;4080;0;0
2021;1;120945;11473,39;10289,91;11473,39;11473,39;10289,91;11473,39;11473,39;11473,39;11473,39;0;0
2021;1;119756;6792;6792;6792;6792;6792;6792;6792;0;0;0;0
2021;1;120641;6936;6936;6936;6936;6936;12624;12624;12624;12624;0;0
2021;1;118565;2700;2700;2970;0;0;0;0;0;0;0;0
2021;1;118299;5010;5010;5010;5010;5010;5010;5010;0;0;0;0
2021;1;117962;6995,76;6995,76;6995,76;6995,76;6995,76;6995,76;6995,76;6995,76;6995,76;0;0
2021;1;119016;5877,04;5877,04;5877,04;5877,04;5877,04;5877,04;5877,04;0;0;0;0
2021;1;118443;5604,42;5604,42;5604,42;5604,42;5604,42;5604,42;5604,42;5604,42;5604,42;0;0
2021;1;119713;9516;9516;9516;9516;9516;9516;9516;9516;9516;0;0
2021;1;120992;10554;10554;10554;10554;10554;10554;10554;10554;10554;0;0
2021;1;118653;8040;8040;8040;8040;8844;8844;8844;8844;8844;0;0
2021;1;119377;8453,58;6953,58;8236,68;6540,78;8910;12368,4;13919,4;13777,44;11160,6;0;0
2021;1;121995;12379,98;12379,98;12379,98;12379,98;12379,98;12379,98;12379,98;0;0;0;0
2021;1;118317;16314;16314;16314;16314;16314;16314;16314;16314;16314;0;0
2021;1;118536;2624,58;2624,58;2624,58;2624,58;0;0;0;0;0;0;0
2021;1;121730;5896,04;5896,04;5896,04;5896,04;4716,84;5896,04;5306,44;0;0;0;0
2021;1;119642;7563,66;7563,66;7563,66;7563,66;7563,66;7563,66;7563,66;7563,66;7563,66;0;0
2021;1;119408;6759,37;6759,37;6759,37;6759,37;6759,37;6759,37;6759,37;6759,37;6759,37;0;0
2021;1;117979;6130,25;6130,25;6130,25;6130,25;6130,25;6130,25;6130,25;0;0;0;0
2021;1;122198;6480,72;6480,72;6480,72;6480,72;6480,72;0;0;0;0;0;0
2021;1;121491;4540,8;4540,8;4540,8;4540,8;4540,8;6811,2;6811,2;0;0;0;0
2021;1;119641;4627,26;4627,26;4627,26;0;0;0;0;0;0;0;0
2021;1;120940;9726;9726;9726;9726;9726;9726;9726;9726;9726;0;0
2021;1;119364;7771,86;7490,64;8238,18;8813,88;8151;8745,12;12955,8;14587,32;11589,6;0;0
2021;1;118009;5291,06;3528,83;3289,35;3832,46;4141,51;4389,68;4791,24;0;0;0;0
2021;1;118024;6427,71;6427,71;6427,71;6427,71;6427,71;6427,71;6427,71;6427,71;6427,71;0;0
2021;1;119687;6983,26;5583,35;5583,35;6240,21;6898,31;6569,81;6898,31;0;0;0;0
2021;1;120966;8868;8088;8018,4;8135,46;7606,62;8344,32;7713,3;0;0;0;0
2021;1;120986;10488;8988;9484,8;9619,08;9034,74;9912,9;9800,88;0;0;0;0
2021;1;119330;8646;8646;8646;8646;8646;8646;8646;8646;8646;0;0
2021;1;118974;6513,43;6513,43;6513,43;6513,43;6513,43;6513,43;6513,43;6513,43;6513,43;0;0
2021;1;119146;3870,72;3870,72;3870,72;3870,72;0;0;0;0;0;0;0
2021;1;118444;5749,55;5749,55;5749,55;5749,55;5749,55;5749,55;5749,55;5749,55;5749,55;0;0
2021;1;120687;10644;10440;10440;10440;10440;10440;10440;10440;10440;0;0
2021;1;120713;5844;5730;5730;5730;5730;0;0;0;0;0;0
2021;1;119261;9238,35;9238,35;9238,35;9238,35;9238,35;9238,35;9238,35;9238,35;9238,35;0;0
2021;1;121562;6607,2;6607,2;6607,2;6607,2;6607,2;7928,64;7928,64;9910,8;8589,36;0;0
2021;1;120441;4201,93;4201,93;4201,93;4201,93;4201,93;4201,93;4201,93;4201,93;4201,93;0;0
2021;1;121619;11836,32;11836,32;11836,32;11836,32;11836,32;11836,32;11836,32;0;0;0;0
2021;1;117968;6900;6900;6900;6900;6900;6900;6900;6900;6900;0;0
2021;1;120826;5226;5226;5226;5226;5226;5226;5226;0;0;0;0
2021;1;119548;5860,8;5860,8;5860,8;5860,8;5860,8;5860,8;5860,8;0;0;0;0
2021;1;119491;6000;6000;6000;6000;6000;6000;6000;6000;6000;0;0
2021;1;120545;4644;4512;4512;4511,4;4381,62;0;0;0;0;0;0
2021;1;118073;5550,42;5550,42;5550,42;5550,42;5550,42;5550,42;5550,42;0;0;0;0
2021;1;120489;7326;7326;7326;7326;7326;7326;7326;0;0;0;0
2021;1;121748;18594;18594;18594;18594;18594;18594;18594;18594;18594;0;0
2021;1;120997;6395,04;6395,04;6395,04;6395,04;6395,04;6395,04;6395,04;6395,04;0;0;0
2021;1;122200;7303,32;7303,32;7303,32;7303,32;7303,32;7303,32;7303,32;0;0;0;0
2021;1;121676;12322,08;12322,08;12322,08;12322,08;12322,08;12322,08;12322,08;12322,08;12322,08;0;0
2021;1;120252;4080;4080;4080;4080;4080;4080;4080;4080;4080;0;0
2021;1;120927;4138,8;4298,58;7087,02;9173,58;0;0;0;0;0;0;0
2021;1;118700;7199,14;7199,14;7199,14;7199,14;7199,14;7199,14;7199,14;7199,14;7199,14;0;0
2021;1;120939;5721,42;6257,16;5880;4860,9;4983;0;0;0;0;0;0
2021;1;119847;6646,86;6553,14;7207,14;8429,52;8665,8;9669,54;8989,2;0;0;0;0
2021;1;121000;6433,44;6433,44;6433,44;6433,44;6433,44;6433,44;6433,44;0;0;0;0
2021;1;121820;7970,57;7970,57;7970,57;7970,57;7970,57;7970,57;7970,57;7970,57;7970,57;0;0
2021;1;120199;7627,71;7627,71;7627,71;7627,71;7627,71;7627,71;7627,71;0;0;0;0
2021;1;120320;11227,71;11227,71;11227,71;11227,71;0;0;0;0;0;0;0
2021;1;121525;11424;11424;11424;11424;11424;11424;11424;0;0;0;0
2021;1;120498;7680;7680;7680;8354,16;8855,4;8855,4;8855,4;8855,4;8855,4;0;0
2021;1;120264;8570,57;8570,57;8570,57;8570,57;8570,57;8570,57;8570,57;8570,57;8570,57;0;0
2021;1;119991;6942;6942;6942;6942;6942;6942;6942;0;0;0;0
2021;1;118734;3605,3;3605,3;3605,3;3639,83;3589,24;3589,24;3589,24;0;0;0;0
2021;1;117881;4785,79;4785,79;4785,79;4785,79;4785,79;4785,79;4785,79;0;0;0;0
