semestre;cod_preferencia;1_semestre_fies;2_semestre_fies;3_semestre_fies;4_semestre_fies;5_semestre_fies;6_semestre_fies;7_semestre_fies;8_semestre_fies;9_semestre_fies;10_semestre_fies;11_semestre_fies;12_semestre_fies
1;118659;8376,55;9579,26;9579,21;9579,21;9579,15;9579,1;10662,07;10786,99;0;0;0;0
1;118899;5220;5220;5220;5220;5220;5220;5220;5220;0;0;0;0
1;119104;2879,4;2879,4;2879,4;2879,4;2879,4;2879,4;2879,4;2879,4;0;0;0;0
1;120964;5700;5700;5700;5700;5700;5700;5700;0;0;0;0;0
1;121354;4194;4194;4509,68;4509,68;0;0;0;0;0;0;0;0
1;120924;7620;6728,88;6303,12;6424,38;7471,68;7294,56;8489,04;8892,78;0;0;0;0
1;117966;3300;3300;3300;4216,67;4216,67;4216,67;4216,67;4216,67;4216,67;4216,67;0;0
1;120919;4013,46;3804;3844,8;2582,82;5673,87;4074,35;4637,21;2915,55;2915,55;2915,55;0;0
1;121441;4854;4794;5642,3;4741,38;6752,7;6442,92;7253,96;6238,94;0;0;0;0
1;120958;3359,4;3359,4;3359,4;3359,4;3359,4;3359,4;3359,4;3359,4;0;0;0;0
1;117997;4100,52;4100,52;4100,52;4100,52;4100,52;4100,52;4100,52;4100,52;4100,52;4100,52;0;0
1;122072;9969;9969;9969;9969;9969;9969;9969;9969;9969;9969;0;0
1;120240;8136;8136;8136;8136;8136;8136;8136;8136;8136;8136;0;0
1;122194;10475,7;10475,7;10475,7;10475,7;10475,7;10475,7;10475,7;10475,7;10475,7;10475,7;0;0
1;118975;6810,9;6810,9;6810,9;6810,9;6810,9;6810,9;6810,9;6810,9;6810,9;0;0;0
1;119258;6839,5;6839,5;6839,5;6839,5;6839,5;6839,5;6839,5;6839,5;6839,5;6839,5;0;0
1;120998;5101,5;5101,5;5602,98;5602,98;6153,75;6153,75;6758,66;6758,66;0;0;0;0
1;120999;1736,33;1736,33;1736,33;1736,33;0;0;0;0;0;0;0;0
1;120978;4548;4548;4548;4548;4548;4548;4548;4548;0;0;0;0
1;121645;11389,18;11389,18;11389,18;11389,18;11389,18;11389,18;11389,18;11389,18;0;0;0;0
1;119722;5219,4;5219,4;5219,4;5219,4;5219,4;5219,4;5219,4;5219,4;0;0;0;0
1;120250;3239,4;3239,4;3239,4;3239,4;3239,4;3239,4;0;0;0;0;0;0
1;120280;2880;3389,46;3389,46;2824,56;3389,46;3389,46;3389,46;3389,46;0;0;0;0
1;119291;13944,42;13944,42;13944,42;13944,42;13944,42;13944,42;13944,42;13944,42;13944,42;13944,42;0;0
1;120938;13662;13662;13662;13662;13662;13662;13662;13662;13662;13662;0;0
1;118298;5454;5034;5424,05;4495,01;6598,04;8301,6;10846,58;10076,9;10946,88;8820,77;0;0
1;119443;7548;7548;7548;7548;7548;7548;7548;7548;7548;7548;0;0
1;118818;5392,62;3571,74;4410,66;8412,84;8412,84;8412,84;8412,84;8412,84;8412,84;8412,84;0;0
1;121833;5154;4794;5834,64;4055,9;4055,9;4055,9;4055,9;4055,9;4055,9;4055,9;0;0
1;120936;4134,18;4104;5128,56;3889,35;5064,53;4964,27;6114,38;6989,85;7612,65;6660,77;0;0
1;118108;5579,4;5579,4;5579,4;5579,4;5579,4;5579,4;5579,4;5579,4;0;0;0;0
1;119142;5279,4;5279,4;5279,4;5279,4;5279,4;5279,4;5279,4;5279,4;5279,4;5279,4;0;0
1;119212;4026;4026;4026;4026;4026;4026;4026;4026;0;0;0;0
1;120298;6907,86;6907,86;6907,86;6907,86;6907,86;6907,86;6907,86;6907,86;0;0;0;0
1;119899;4791,67;4791,67;4791,67;4791,67;4791,67;4791,67;4791,67;4791,67;4791,67;4791,67;0;0
1;120628;3575,25;3575,25;3575,25;3575,25;3575,25;3575,25;3575,25;0;0;0;0;0
1;117886;9650,1;9650,1;9650,1;9650,1;9650,1;9650,1;9650,1;9650,1;0;0;0;0
1;118381;7438,23;7438,23;7438,23;7438,23;7438,23;7438,23;7438,23;7438,23;7438,23;7438,23;0;0
